CUST_CODE,TOTAL_SALES,TOTAL_VISIT
CUST0000014942,1660.0999999999983,105
CUST0000014944,14.52,7
CUST0000015147,0.07,1
CUST0000015843,325.0400000000003,41
CUST0000015949,1382.5199999999984,182
CUST0000015976,121.36999999999998,7
CUST0000016087,8116.390000000052,174
CUST0000016305,842.2099999999991,94
CUST0000016376,5508.9100000000035,209
CUST0000016975,1795.7199999999978,292
CUST0000017060,73.08,6
CUST0000017071,3.7399999999999998,3
CUST0000017220,223.32999999999998,11
CUST0000017545,2600.579999999998,74
CUST0000017681,21.080000000000002,2
CUST0000017968,114.32000000000001,10
CUST0000018190,660.4499999999996,89
CUST0000018390,975.3800000000023,61
CUST0000018482,1.65,1
CUST0000018545,69.72000000000003,11
CUST0000018583,515.61,20
CUST0000018830,65.91,8
CUST0000018911,1771.4300000000026,102
CUST0000018943,2204.630000000003,54
CUST0000019017,22.930000000000003,1
CUST0000019337,0.03,3
CUST0000019499,35.620000000000005,1
CUST0000019629,5673.3200000000115,429
CUST0000019980,95.80000000000004,11
CUST0000019986,25.32,5
CUST0000019987,12.0,1
CUST0000020029,936.9300000000003,75
CUST0000020571,832.6899999999994,62
CUST0000020908,257.3799999999999,55
CUST0000021007,911.1799999999994,106
CUST0000021287,40.90000000000001,21
CUST0000021723,274.4499999999998,44
CUST0000022234,177.80000000000004,36
CUST0000022316,1253.4899999999998,105
CUST0000022415,332.01000000000016,9
CUST0000022814,856.3599999999993,106
CUST0000023291,162.22000000000006,13
CUST0000023371,13.52,2
CUST0000023406,622.0299999999996,101
CUST0000023618,2618.060000000018,255
CUST0000023729,1.6800000000000002,2
CUST0000023874,2.1,2
CUST0000023876,20.69,5
CUST0000023985,23.84,6
CUST0000024442,9.75,2
CUST0000024551,19.620000000000005,4
CUST0000024653,92.2,30
CUST0000024790,3.21,2
CUST0000024896,111.73,23
CUST0000025217,245.0800000000001,3
CUST0000025221,440.83000000000015,6
CUST0000025292,41.43000000000001,6
CUST0000025448,3055.3300000000168,86
CUST0000025657,82.44999999999999,29
CUST0000025672,10.8,2
CUST0000025682,204.88000000000005,6
CUST0000025691,51.550000000000004,4
CUST0000026426,17.410000000000004,1
CUST0000026547,1322.4399999999991,113
CUST0000026732,598.6400000000001,43
CUST0000026911,417.4200000000001,33
CUST0000027188,1263.739999999998,167
CUST0000027294,19.08,2
CUST0000027371,54.64999999999999,11
CUST0000027873,3713.239999999985,385
CUST0000028030,2.62,1
CUST0000028077,71.75,8
CUST0000028109,2853.330000000005,160
CUST0000028257,30.4,3
CUST0000028627,300.46999999999997,13
CUST0000029009,1327.2500000000036,171
CUST0000029233,1208.319999999998,65
CUST0000029326,317.39,18
CUST0000029392,3261.46,96
CUST0000029587,4360.849999999996,402
CUST0000029729,1403.3799999999983,169
CUST0000029952,166.45999999999995,15
CUST0000030086,28.290000000000003,3
CUST0000030374,281.4300000000001,23
CUST0000030521,2192.650000000004,487
CUST0000030585,3765.5799999999517,123
CUST0000031428,2741.8099999999945,225
CUST0000031564,7.540000000000001,2
CUST0000031996,12.299999999999999,2
CUST0000032568,462.6800000000001,23
CUST0000032697,120.41999999999997,43
CUST0000032813,3198.429999999993,386
CUST0000033304,3282.120000000006,126
CUST0000033395,256.5999999999999,31
CUST0000033514,235.86999999999992,47
CUST0000034023,2992.7400000000034,166
CUST0000034375,107.10999999999994,15
CUST0000034450,504.5899999999998,70
CUST0000035935,2682.66,71
CUST0000036781,40.09,3
CUST0000036792,1552.089999999998,142
CUST0000037150,1570.919999999999,115
CUST0000037401,6.36,3
CUST0000037542,1732.1100000000006,215
CUST0000037746,2072.380000000003,301
CUST0000037843,163.51000000000002,14
CUST0000038037,54.11000000000001,10
CUST0000038061,22.78,6
CUST0000038162,1164.9199999999992,198
CUST0000038166,175.74,3
CUST0000038793,472.9800000000001,52
CUST0000039024,393.9,32
CUST0000039202,1070.5200000000002,58
CUST0000039473,1479.9800000000039,248
CUST0000039589,2187.5800000000045,126
CUST0000039817,6.09,1
CUST0000039828,1041.7200000000003,181
CUST0000039924,146.63,10
CUST0000040270,393.69999999999993,37
CUST0000040366,851.9499999999983,175
CUST0000040788,1116.3199999999993,99
CUST0000040819,3674.8300000000104,231
CUST0000041142,1300.1000000000006,163
CUST0000041292,18.42,3
CUST0000041315,1040.0800000000015,37
CUST0000041397,393.2899999999996,44
CUST0000041637,885.1299999999999,75
CUST0000041705,83.75999999999999,5
CUST0000041792,4781.990000000044,275
CUST0000041920,546.3500000000001,26
CUST0000042133,508.1999999999998,33
CUST0000042310,1184.3099999999981,184
CUST0000042324,1225.6000000000001,72
CUST0000042355,133.18,2
CUST0000042419,286.4600000000001,53
CUST0000042509,0.8,1
CUST0000042921,3538.3100000000054,92
CUST0000042928,179.38999999999996,19
CUST0000043076,2294.5499999999984,217
CUST0000043090,364.47999999999996,71
CUST0000043417,1539.0799999999958,83
CUST0000043446,4.77,1
CUST0000043639,13.85,1
CUST0000044201,38.66,2
CUST0000044470,427.86000000000024,58
CUST0000044673,13.36,7
CUST0000044799,30.970000000000006,2
CUST0000044856,1726.029999999995,144
CUST0000044868,13.049999999999999,1
CUST0000045451,1360.1699999999971,65
CUST0000045979,1647.4300000000035,65
CUST0000046097,622.6899999999991,142
CUST0000046348,2097.9400000000055,144
CUST0000046556,164.06000000000003,22
CUST0000046594,1635.8399999999958,306
CUST0000046609,21.9,3
CUST0000046755,2671.0600000000113,293
CUST0000046773,4.85,2
CUST0000047009,13.58,1
CUST0000047027,1136.8100000000006,124
CUST0000047261,129.10000000000002,12
CUST0000047548,2071.490000000002,127
CUST0000047889,212.56000000000006,40
CUST0000047909,282.21000000000004,64
CUST0000048091,348.5700000000001,53
CUST0000048128,37.1,2
CUST0000048202,1558.0999999999983,87
CUST0000048286,756.5699999999991,54
CUST0000048320,573.9000000000004,78
CUST0000048357,3696.990000000017,251
CUST0000048950,32.629999999999995,1
CUST0000049075,438.88,63
CUST0000049271,3.41,1
CUST0000049424,536.4600000000002,49
CUST0000049454,91.98,12
CUST0000049591,114.32000000000004,26
CUST0000049612,612.3899999999999,117
CUST0000049621,671.7299999999996,41
CUST0000049880,2190.060000000012,151
CUST0000050133,20.770000000000003,2
CUST0000050163,87.58999999999999,8
CUST0000050331,702.0499999999993,73
CUST0000050344,3997.409999999992,121
CUST0000050558,46.34,11
CUST0000051369,187.88999999999996,35
CUST0000051933,435.5199999999998,36
CUST0000051975,2591.8399999999997,168
CUST0000052443,503.77999999999946,231
CUST0000052765,1612.9099999999964,139
CUST0000052887,57.25999999999999,2
CUST0000053274,959.7699999999993,51
CUST0000053339,18.81,2
CUST0000053580,31.440000000000005,10
CUST0000053659,1348.1000000000015,135
CUST0000053837,1177.1499999999999,79
CUST0000053961,1504.3899999999996,46
CUST0000054115,550.2,61
CUST0000054749,663.0499999999996,97
CUST0000054756,741.1600000000008,112
CUST0000054771,3.6799999999999997,2
CUST0000054804,155.66,59
CUST0000054846,0.4,1
CUST0000055017,21.93,1
CUST0000055064,1959.1399999999976,158
CUST0000055116,5.92,1
CUST0000055165,16.02,5
CUST0000055276,82.53000000000002,5
CUST0000055381,2043.5599999999988,91
CUST0000055392,71.17999999999999,9
CUST0000055396,217.26999999999995,38
CUST0000055631,51.229999999999976,16
CUST0000055829,5576.58000000007,267
CUST0000055931,379.9799999999993,94
CUST0000055988,11.04,1
CUST0000056276,2953.5999999999926,61
CUST0000056533,134.41000000000005,11
CUST0000056664,12.669999999999998,8
CUST0000056849,1079.1500000000005,126
CUST0000056956,1.2,1
CUST0000057033,827.1499999999997,195
CUST0000057088,3165.489999999997,279
CUST0000057417,3115.8700000000026,489
CUST0000057790,1.01,1
CUST0000058498,41.620000000000005,2
CUST0000058615,0.23,1
CUST0000058634,700.9200000000004,29
CUST0000058875,1343.5199999999988,180
CUST0000059001,893.9600000000005,76
CUST0000059470,145.69000000000005,52
CUST0000059541,72.82000000000001,16
CUST0000060014,143.89,10
CUST0000060094,153.61000000000004,28
CUST0000060098,21.6,1
CUST0000060281,42.73,6
CUST0000060410,2666.5800000000077,298
CUST0000060707,260.03000000000003,18
CUST0000060800,944.3900000000003,48
CUST0000060847,1814.9699999999973,194
CUST0000061162,217.5800000000002,28
CUST0000061214,2155.850000000001,84
CUST0000061224,822.0900000000004,1
CUST0000061263,388.71999999999963,79
CUST0000061472,751.9100000000007,67
CUST0000061695,1131.5399999999995,181
CUST0000062082,173.33999999999995,15
CUST0000062102,2.0999999999999996,1
CUST0000062146,14.32,9
CUST0000062236,632.720000000001,105
CUST0000062382,182.99,25
CUST0000062780,395.2700000000011,59
CUST0000062891,139.65,35
CUST0000062946,4618.48999999999,208
CUST0000063103,997.6099999999997,32
CUST0000063144,2.1799999999999997,1
CUST0000063172,19.01,10
CUST0000063646,121.66,9
CUST0000063939,1995.5600000000018,135
CUST0000065468,270.32999999999987,18
CUST0000065671,951.0699999999987,142
CUST0000066327,3.86,2
CUST0000066423,218.06999999999994,18
CUST0000066462,932.8499999999997,68
CUST0000066762,1974.529999999998,102
CUST0000067158,2391.7200000000016,214
CUST0000067605,304.8799999999997,18
CUST0000067841,1542.039999999999,48
CUST0000067848,1.84,2
CUST0000067889,8.25,1
CUST0000068170,1338.7499999999995,223
CUST0000068730,3328.3800000000033,166
CUST0000068797,1163.6899999999937,370
CUST0000069011,998.5499999999997,77
CUST0000069477,4.24,1
CUST0000069624,1096.8800000000003,235
CUST0000069832,13.36,2
CUST0000070207,92.51,23
CUST0000070949,259.02,21
CUST0000070986,715.7099999999994,84
CUST0000071220,39.37,8
CUST0000071264,95.78999999999998,10
CUST0000071511,15.290000000000001,1
CUST0000071732,3870.699999999992,223
CUST0000072124,452.86,42
CUST0000072578,677.789999999999,87
CUST0000072800,2983.1999999999803,140
CUST0000073199,3584.5300000000366,479
CUST0000073777,112.85000000000002,23
CUST0000074341,322.59,34
CUST0000074550,13.060000000000002,3
CUST0000074601,736.4700000000004,59
CUST0000074825,187.4,57
CUST0000075013,60.38999999999999,1
CUST0000075112,1003.8000000000021,119
CUST0000075376,3977.629999999984,152
CUST0000076078,50.2,20
CUST0000076091,1001.9100000000007,59
CUST0000076243,3190.609999999992,163
CUST0000076787,2213.709999999994,84
CUST0000076793,893.7300000000004,18
CUST0000077221,0.43,1
CUST0000077294,816.2399999999998,72
CUST0000077478,12.13,1
CUST0000077708,3415.659999999997,160
CUST0000077998,1650.4200000000017,63
CUST0000078020,873.8999999999965,431
CUST0000078328,1683.1900000000019,167
CUST0000078429,648.4400000000002,123
CUST0000078777,2658.279999999995,228
CUST0000078889,96.33999999999997,28
CUST0000079114,349.75,93
CUST0000079125,494.73,16
CUST0000079207,434.8000000000002,90
CUST0000079529,662.0000000000002,79
CUST0000079790,80.68,18
CUST0000080301,433.36999999999995,85
CUST0000080372,518.9000000000003,42
CUST0000080630,3180.8599999999997,266
CUST0000080684,20.409999999999997,3
CUST0000080905,13.86,3
CUST0000081109,7.07,1
CUST0000081255,5584.8999999999505,268
CUST0000081326,881.3600000000021,156
CUST0000081357,1205.110000000001,88
CUST0000081381,78.13,9
CUST0000081683,163.90999999999985,52
CUST0000081993,815.6100000000001,104
CUST0000082206,2364.0399999999977,79
CUST0000082456,237.68000000000018,39
CUST0000082523,1137.8999999999974,144
CUST0000083700,3404.2500000000364,111
CUST0000083735,0.65,1
CUST0000083736,402.7500000000004,91
CUST0000084449,4293.579999999996,360
CUST0000084519,131.84,21
CUST0000084849,1440.8900000000024,101
CUST0000084889,5.96,1
CUST0000084985,175.96999999999994,29
CUST0000085180,2080.789999999997,249
CUST0000085249,633.7499999999993,81
CUST0000085396,1715.3799999999985,41
CUST0000085435,2893.6100000000074,121
CUST0000085537,1956.0699999999956,113
CUST0000085841,210.25000000000003,6
CUST0000086468,2.69,1
CUST0000086516,2215.5099999999943,147
CUST0000086754,20.800000000000004,1
CUST0000086768,3087.3099999999968,165
CUST0000086810,13.81,1
CUST0000086931,9.15,1
CUST0000086940,980.6499999999992,69
CUST0000086976,3708.189999999991,305
CUST0000087799,583.7999999999998,59
CUST0000087833,1736.77,81
CUST0000087850,2324.1899999999987,46
CUST0000087895,1837.0999999999976,267
CUST0000088073,2207.400000000001,70
CUST0000088232,1767.9599999999978,257
CUST0000088309,107.83000000000004,42
CUST0000088415,4500.77999999998,735
CUST0000088575,6169.46000000002,356
CUST0000088620,98.88999999999999,33
CUST0000088701,1672.9299999999919,115
CUST0000088813,38.559999999999995,9
CUST0000088853,137.43000000000004,9
CUST0000088904,38.6,1
CUST0000088955,2922.040000000023,325
CUST0000089459,241.68999999999994,49
CUST0000089485,46.85,1
CUST0000089501,1686.0499999999956,99
CUST0000089711,837.0000000000001,39
CUST0000089820,2412.7500000000355,298
CUST0000089962,1.46,1
CUST0000090072,161.63,23
CUST0000090376,512.3500000000001,33
CUST0000090508,4530.420000000016,225
CUST0000090867,11.19,4
CUST0000090870,4.23,1
CUST0000090957,185.44999999999993,25
CUST0000091090,394.3200000000003,11
CUST0000091257,39.23,3
CUST0000091271,3341.3399999999974,227
CUST0000091625,1303.3599999999985,63
CUST0000091646,26.57,1
CUST0000091671,52.609999999999985,26
CUST0000091697,531.9500000000003,34
CUST0000091796,27.04,7
CUST0000091896,7714.010000000014,311
CUST0000092176,3613.27,321
CUST0000092187,734.5100000000003,68
CUST0000092201,837.0599999999994,64
CUST0000092269,999.36,84
CUST0000092328,159.70000000000007,7
CUST0000092460,1181.200000000002,174
CUST0000092637,24.480000000000008,4
CUST0000092645,927.2000000000014,46
CUST0000092674,493.9699999999994,73
CUST0000092719,26.999999999999996,5
CUST0000092839,786.7499999999994,143
CUST0000093216,705.6400000000014,37
CUST0000093607,828.5299999999979,154
CUST0000094387,72.69000000000001,19
CUST0000094518,68.41,3
CUST0000094693,9.840000000000002,1
CUST0000094763,367.80999999999983,87
CUST0000095091,77.10999999999997,5
CUST0000095092,44.33,1
CUST0000095209,104.17999999999999,2
CUST0000095712,399.43999999999977,45
CUST0000095739,1536.9599999999984,51
CUST0000096239,100.49999999999991,24
CUST0000096331,9.14,2
CUST0000096346,173.25,50
CUST0000096525,97.25000000000001,14
CUST0000096570,1362.3599999999944,91
CUST0000097065,2524.3799999999997,230
CUST0000097226,102.17999999999999,7
CUST0000097252,4685.24,146
CUST0000097286,3.24,1
CUST0000097667,2605.119999999992,141
CUST0000097732,3321.0000000000045,125
CUST0000098174,255.5999999999997,12
CUST0000098337,128.48000000000008,34
CUST0000098418,52.05999999999999,2
CUST0000098592,3.84,4
CUST0000098598,34.080000000000005,2
CUST0000098775,134.76999999999998,13
CUST0000098812,29.470000000000002,1
CUST0000099026,1634.2599999999934,58
CUST0000099315,3030.7699999999963,211
CUST0000099465,394.76000000000016,62
CUST0000099530,2931.8600000000124,167
CUST0000099557,2781.020000000014,178
CUST0000100419,91.91000000000004,8
CUST0000100432,496.93000000000023,28
CUST0000100629,1755.0899999999956,97
CUST0000100865,434.2600000000002,70
CUST0000100897,1951.440000000003,285
CUST0000100914,429.4199999999996,28
CUST0000100955,2036.5299999999968,124
CUST0000101121,534.9400000000002,32
CUST0000101162,1301.379999999999,79
CUST0000101185,430.1599999999999,32
CUST0000101377,13.920000000000003,1
CUST0000101652,594.3899999999996,97
CUST0000101739,8.920000000000002,2
CUST0000101913,7.96,1
CUST0000102015,4025.700000000011,184
CUST0000102309,917.6100000000002,103
CUST0000102331,1237.1099999999997,34
CUST0000102383,435.7900000000004,117
CUST0000102491,11.669999999999996,1
CUST0000102869,363.4599999999995,15
CUST0000102963,294.40999999999997,46
CUST0000103039,203.22000000000003,11
CUST0000103653,2046.0400000000016,74
CUST0000103784,1625.719999999995,168
CUST0000104035,4932.939999999986,199
CUST0000104542,494.7799999999995,106
CUST0000104637,3756.0699999999997,221
CUST0000104788,4.989999999999999,1
CUST0000104986,1767.7300000000193,118
CUST0000105001,360.2500000000003,46
CUST0000105586,771.7500000000002,113
CUST0000105613,236.00000000000006,33
CUST0000105652,2127.31999999999,110
CUST0000105720,761.4399999999978,362
CUST0000105725,1.23,1
CUST0000106420,177.04000000000008,56
CUST0000106540,380.13999999999976,72
CUST0000106639,1530.3200000000013,103
CUST0000106749,17.080000000000002,1
CUST0000106770,79.87,12
CUST0000106871,321.02999999999986,47
CUST0000107151,223.23,34
CUST0000107301,124.19000000000003,9
CUST0000107333,27.830000000000005,8
CUST0000107554,480.54999999999967,126
CUST0000107768,921.049999999999,113
CUST0000107770,560.0399999999995,79
CUST0000109079,1233.229999999997,191
CUST0000109120,22.11,1
CUST0000109188,1120.4299999999987,74
CUST0000109193,455.04000000000013,78
CUST0000109262,0.42,1
CUST0000109451,14.620000000000001,1
CUST0000109500,479.9799999999996,49
CUST0000109509,5.01,1
CUST0000109625,2852.480000000003,38
CUST0000109639,2043.4099999999949,164
CUST0000109701,8.850000000000001,4
CUST0000109728,430.86999999999995,18
CUST0000110356,382.7000000000002,21
CUST0000110486,520.46,45
CUST0000110508,39.65,31
CUST0000110607,207.98,45
CUST0000110748,18.430000000000003,2
CUST0000110854,78.44,12
CUST0000111137,1901.8700000000022,125
CUST0000111673,680.8999999999995,99
CUST0000111779,160.00000000000003,9
CUST0000112178,847.3299999999996,46
CUST0000112412,229.20000000000016,81
CUST0000112467,2163.369999999996,202
CUST0000112612,113.46000000000001,8
CUST0000113788,398.3300000000002,163
CUST0000113976,1482.0500000000045,52
CUST0000114208,1657.8499999999997,90
CUST0000114492,784.7199999999989,51
CUST0000114775,6671.220000000008,124
CUST0000115101,2520.72000000001,225
CUST0000115390,3633.880000000011,127
CUST0000115400,164.65999999999988,5
CUST0000115401,45.17999999999999,7
CUST0000115629,1107.8799999999985,59
CUST0000115923,527.26,90
CUST0000115970,4013.4600000000037,463
CUST0000116031,47.67000000000001,3
CUST0000117239,885.6600000000003,187
CUST0000117522,30.220000000000002,1
CUST0000117777,1143.2800000000004,19
CUST0000119198,1557.1400000000042,110
CUST0000119837,531.3499999999999,13
CUST0000120088,702.1899999999991,46
CUST0000120143,148.53000000000006,14
CUST0000120214,705.1200000000008,27
CUST0000120453,168.67000000000002,70
CUST0000120536,705.9399999999994,58
CUST0000120799,253.9999999999999,5
CUST0000120837,363.4900000000003,47
CUST0000120903,7.98,1
CUST0000121178,1021.9300000000009,77
CUST0000121259,891.5699999999971,113
CUST0000121266,17.03,1
CUST0000121492,97.21999999999998,18
CUST0000121684,3.4399999999999995,2
CUST0000121998,97.19000000000003,11
CUST0000122093,172.35,13
CUST0000122174,2.96,1
CUST0000122425,94.14000000000001,18
CUST0000122993,53.0,4
CUST0000123142,23.320000000000004,1
CUST0000124113,341.52999999999923,107
CUST0000124431,1221.88,199
CUST0000124448,1.05,1
CUST0000124935,2.8,2
CUST0000124963,1466.220000000001,105
CUST0000125006,60.47999999999998,21
CUST0000125091,2159.1699999999973,66
CUST0000125124,1756.839999999996,241
CUST0000125421,2858.9500000000035,285
CUST0000125490,6.609999999999999,1
CUST0000125548,31.22,2
CUST0000126117,107.44000000000001,2
CUST0000126202,120.74000000000004,19
CUST0000126343,100.81000000000002,1
CUST0000126351,246.81000000000006,9
CUST0000126668,185.11,53
CUST0000126750,895.7699999999994,73
CUST0000127124,1737.5099999999986,95
CUST0000127477,2591.889999999999,164
CUST0000127498,3623.009999999994,270
CUST0000127560,3.42,3
CUST0000128103,596.3099999999986,93
CUST0000128185,204.74999999999994,22
CUST0000128804,10.28,2
CUST0000128862,21.04,3
CUST0000128997,297.8099999999997,36
CUST0000129034,30.1,3
CUST0000129368,329.03,18
CUST0000129484,128.34999999999997,4
CUST0000129677,2039.7699999999986,84
CUST0000129804,2.7,1
CUST0000130407,14.3,6
CUST0000130446,46.1,1
CUST0000130658,1086.7099999999998,111
CUST0000130703,275.51000000000005,10
CUST0000130724,314.2299999999998,22
CUST0000131091,487.6300000000002,27
CUST0000131200,987.9899999999998,153
CUST0000131452,13.95,8
CUST0000131491,752.0700000000007,164
CUST0000131508,7.1499999999999995,1
CUST0000131635,2076.34999999999,146
CUST0000131867,252.13999999999996,68
CUST0000132151,4661.569999999978,245
CUST0000132213,1050.8199999999995,89
CUST0000132235,7239.639999999971,657
CUST0000132577,1813.1,35
CUST0000132826,1842.98,121
CUST0000132844,119.09999999999998,25
CUST0000133247,158.80999999999997,22
CUST0000133579,975.1299999999998,85
CUST0000133938,1352.5699999999952,105
CUST0000134243,164.76,14
CUST0000134361,135.08000000000004,36
CUST0000134680,37.50999999999999,1
CUST0000134957,2288.500000000004,171
CUST0000135178,16.62,1
CUST0000135244,19.009999999999998,4
CUST0000135514,352.6100000000001,32
CUST0000136982,154.14000000000001,7
CUST0000137504,1893.1199999999953,87
CUST0000137569,1141.4699999999991,101
CUST0000137649,559.5900000000001,50
CUST0000137876,87.22,8
CUST0000138040,57.26999999999999,20
CUST0000138450,318.39999999999964,47
CUST0000138580,605.0299999999994,48
CUST0000138774,3671.8999999999996,228
CUST0000138854,6640.579999999992,279
CUST0000139227,30.590000000000007,12
CUST0000139484,3080.4199999999823,165
CUST0000140306,3137.309999999993,152
CUST0000140438,1165.7400000000011,106
CUST0000140700,449.58999999999975,52
CUST0000140947,390.73000000000025,16
CUST0000141094,532.6799999999998,23
CUST0000141343,62.260000000000005,2
CUST0000141657,2305.7500000000064,233
CUST0000141926,58.85,4
CUST0000142047,2241.86,118
CUST0000142059,805.4999999999987,92
CUST0000142262,236.6100000000001,60
CUST0000142399,0.6,1
CUST0000142444,48.599999999999994,15
CUST0000142485,2872.0700000000156,254
CUST0000142549,2952.610000000012,111
CUST0000142590,5939.930000000003,174
CUST0000142685,2.91,3
CUST0000142966,16.429999999999996,1
CUST0000143009,2620.720000000004,363
CUST0000143069,3.0300000000000002,1
CUST0000143092,98.16,14
CUST0000143568,189.79999999999998,4
CUST0000143602,2337.540000000002,104
CUST0000143770,3314.990000000001,146
CUST0000143857,477.54999999999984,35
CUST0000144071,1708.9299999999964,270
CUST0000144313,1299.2099999999964,90
CUST0000144435,135.35999999999999,14
CUST0000144492,392.7699999999998,43
CUST0000144594,32.480000000000004,2
CUST0000145181,177.52999999999997,6
CUST0000145307,434.3299999999999,21
CUST0000145363,3805.940000000004,151
CUST0000145387,30.29,9
CUST0000145541,90.14999999999998,15
CUST0000145641,939.8899999999993,64
CUST0000145809,1773.0199999999948,114
CUST0000146045,34.09,17
CUST0000146061,21.690000000000005,1
CUST0000146488,850.2699999999988,40
CUST0000146770,3338.0800000000163,158
CUST0000146867,153.99000000000004,41
CUST0000147274,577.63,54
CUST0000147472,207.8400000000001,17
CUST0000147674,1054.1600000000003,112
CUST0000147978,235.25,6
CUST0000148683,12.32,2
CUST0000148783,2412.6200000000053,488
CUST0000149006,225.02999999999977,61
CUST0000149077,1291.6499999999978,82
CUST0000149263,432.48999999999927,135
CUST0000149331,1565.5499999999995,104
CUST0000149344,785.1400000000001,42
CUST0000149372,934.1399999999998,126
CUST0000149391,337.4099999999999,60
CUST0000149548,27.5,2
CUST0000149614,2116.5699999999956,212
CUST0000149716,1021.1200000000003,71
CUST0000149878,55.77000000000002,11
CUST0000149982,23.130000000000003,1
CUST0000150282,1070.8699999999992,98
CUST0000150295,297.95999999999975,13
CUST0000150333,67.10000000000001,14
CUST0000150629,3.5,1
CUST0000150728,4.5200000000000005,1
CUST0000150892,377.6599999999992,30
CUST0000151068,20.33,1
CUST0000151112,5.42,2
CUST0000151178,57.029999999999994,27
CUST0000151471,3884.8599999999915,295
CUST0000151506,12.18,1
CUST0000151558,2.68,1
CUST0000151651,216.64000000000007,5
CUST0000151825,3161.5300000000025,529
CUST0000152233,3704.1800000000053,227
CUST0000152669,38.58,4
CUST0000152715,21.689999999999998,4
CUST0000153320,218.52999999999992,9
CUST0000153446,206.29000000000002,47
CUST0000153576,53.99,1
CUST0000153789,557.73,44
CUST0000154091,5186.160000000035,216
CUST0000154122,4077.8600000000015,160
CUST0000154180,38.050000000000004,8
CUST0000154719,447.0600000000003,42
CUST0000154778,517.4199999999992,33
CUST0000154806,715.6699999999994,19
CUST0000154813,2.79,1
CUST0000154831,258.80999999999995,96
CUST0000155214,1288.2399999999975,62
CUST0000155661,192.04000000000005,28
CUST0000155767,320.38000000000005,55
CUST0000156179,71.61,10
CUST0000156198,1905.1999999999966,165
CUST0000156208,2086.180000000004,74
CUST0000156209,2191.6299999999974,137
CUST0000156219,30.279999999999994,6
CUST0000156297,64.01,8
CUST0000156330,701.0200000000006,89
CUST0000156718,292.26999999999987,49
CUST0000156875,5.85,1
CUST0000156940,5.36,1
CUST0000157101,25.72,1
CUST0000157162,820.3699999999981,74
CUST0000157175,6.35,1
CUST0000157638,131.91,7
CUST0000157717,106.57000000000001,49
CUST0000157795,16.68,1
CUST0000157823,4430.089999999999,117
CUST0000158221,445.6199999999996,39
CUST0000158354,435.9499999999996,32
CUST0000158544,1086.1400000000026,123
CUST0000158576,616.9199999999998,11
CUST0000158853,1503.4299999999985,104
CUST0000158972,1783.2100000000014,139
CUST0000159615,54.55,4
CUST0000159682,2543.830000000006,193
CUST0000159862,2017.599999999998,179
CUST0000159864,318.3999999999998,22
